,Estimate,Fitting_succeeded,lower_ci,nObs,p_value,parameter,roi_name,upper_ci,exp_Estimate,log10_Estimate
106,-0.0144424130714929,True,-0.49262463808770435,250,0.9527957716009793,"(0.05, 0.2]",near_trpG (Rv0013),0.4637398119447185,0.9856613783093867,-0.03326087730364815
107,-0.34706191772268374,True,-0.8252441532120054,250,0.15487227673091428,"(0.2, 1.0]",near_trpG (Rv0013),0.13112031776663796,0.7067615658362917,-0.7992835965153406
108,-8.244833945708953,True,-8.297347633416445,250,0.0,const,trpG (Rv0013),-8.19232025800146,0.00026261172545329894,-18.987852576967718
109,-0.05712225088227145,True,-0.1310210729040126,250,0.129769528694759,"(0.01, 0.05]",trpG (Rv0013),0.016776571139469718,0.9444785989664779,-0.13155254378187115
110,-0.10307764093829581,True,-0.20152421051405295,250,0.040153768429747265,"(0.05, 0.2]",trpG (Rv0013),-0.004631071362538666,0.9020569342158258,-0.23738780708089524
111,-0.08350754165622265,True,-0.17052216268192122,250,0.059976183788714235,"(0.2, 1.0]",trpG (Rv0013),0.0035070793694759045,0.9198841491950586,-0.19231786843428075
112,,False,,0,,const,near_pknB (Rv0014c),,,
113,-8.208981450905547,True,-8.244564265001825,250,0.0,const,incl_pknB (Rv0014c),-8.173398636809269,0.00027219782699289225,-18.905284281435474
114,-0.04708815884661894,True,-0.09726211691898906,250,0.06585310226204907,"(0.01, 0.05]",incl_pknB (Rv0014c),0.003085799225751175,0.9540032900532921,-0.10844402982376342
115,-0.04470871024842238,True,-0.11012312239942315,250,0.18038380111045782,"(0.05, 0.2]",incl_pknB (Rv0014c),0.020705701902578394,0.9562759946640893,-0.10296415970211674
116,0.03764348345584856,True,-0.018724150390257224,250,0.19056656851249476,"(0.2, 1.0]",incl_pknB (Rv0014c),0.09401111730195434,1.0383609740146769,0.08669294239881922
117,-8.105239929031589,True,-8.151604449516865,250,0.0,const,incl_pknA (Rv0015c),-8.058875408546312,0.00030195277438332696,-18.66636755655975
118,-0.08119982801771092,True,-0.14712435239325755,250,0.015773906368145605,"(0.01, 0.05]",incl_pknA (Rv0015c),-0.015275303642164298,0.9220094297182421,-0.18700320392478822
119,-0.11403295857679446,True,-0.2005918855780255,250,0.009821201925731783,"(0.05, 0.2]",incl_pknA (Rv0015c),-0.027474031575563454,0.8922285488146591,-0.26261790360235765
120,-0.1088359455728598,True,-0.18555945006518276,250,0.005430832192958845,"(0.2, 1.0]",incl_pknA (Rv0015c),-0.03211244108053686,0.8968775421610735,-0.25064918265429614
121,-8.175484105828833,True,-8.215880708819983,250,0.0,const,incl_pbpA (Rv0016c),-8.135087502837683,0.00028147016386370367,-18.8281398957238
